z_init;mu_z0;mu_z1;seed;d;sdmu;n_small;n_large;Csurv;Bsurv;Cfec;Bfec;baseline_mortality;s_small;s_large;p_large;n_patches;time;z_small;varz_small;z_large;varz_large;n;freq_largefile
0;0.01;0.01;1792812992;0.5;0.01;5;5;0;0;1;3.69158;0.166316;0.2;0.9;0.181818;500;100000;-0.000396234;0.00135336;0.000390402;0.000691459;2500;0.186./sim_patch_size_25_01_2024_213940_66
0;0.01;0.01;3646511368;0.5;0.01;5;5;0;0;1;4.42789;0.166316;0.2;0.9;0.181818;500;100000;8.20514e-06;0.0011188;-1.99377e-06;0.00116846;2500;0.196./sim_patch_size_25_01_2024_213940_67
0;0.01;0.01;795807288;0.5;0.01;5;5;0;0;1;5.16421;0.166316;0.2;0.9;0.181818;500;100000;0.000247519;0.000649877;9.40955e-05;0.00127448;2500;0.192./sim_patch_size_25_01_2024_213940_68
0;0.01;0.01;250711975;0.5;0.01;5;5;0;0;1;5.90053;0.166316;0.2;0.9;0.181818;500;100000;0.000345826;0.000578913;0.000109125;0.000779322;2500;0.166./sim_patch_size_25_01_2024_213940_69
0;0.01;0.01;2535735890;0.5;0.01;5;5;0;0;1;6.63684;0.166316;0.2;0.9;0.181818;500;100000;0.000392722;0.00133971;9.55116e-05;0.000945281;2500;0.198./sim_patch_size_25_01_2024_213940_70
0;0.01;0.01;1674922394;0.5;0.01;5;5;0;0;1;7.37316;0.166316;0.2;0.9;0.181818;500;100000;0.000467241;0.0011816;8.82752e-05;0.0004429;2500;0.18./sim_patch_size_25_01_2024_213940_71
0;0.01;0.01;1948198578;0.5;0.01;5;5;0;0;1;8.10947;0.166316;0.2;0.9;0.181818;500;100000;0.000464168;0.00173038;0.000122105;0.000602245;2500;0.162./sim_patch_size_25_01_2024_213940_72
0;0.01;0.01;4030268830;0.5;0.01;5;5;0;0;1;8.84579;0.166316;0.2;0.9;0.181818;500;100000;0.000509421;0.000242324;0.000167006;0.000188527;2500;0.182./sim_patch_size_25_01_2024_213940_73
0;0.01;0.01;765953108;0.5;0.01;5;5;0;0;1;9.58211;0.166316;0.2;0.9;0.181818;500;100000;0.000473318;0.000389786;0.000200303;0.000674013;2500;0.148./sim_patch_size_25_01_2024_213940_74
0;0.01;0.01;679750586;0.5;0.01;5;5;0;0;1;10.3184;0.166316;0.2;0.9;0.181818;500;100000;0.000453758;0.000397854;0.000218248;0.000156129;2500;0.15./sim_patch_size_25_01_2024_213940_75
0;0.01;0.01;3833361630;0.5;0.01;5;5;0;0;1;11.0547;0.166316;0.2;0.9;0.181818;500;100000;0.000571056;0.000449072;0.000107899;0.00145965;2500;0.176./sim_patch_size_25_01_2024_213940_76
0;0.01;0.01;5661360;0.5;0.01;5;5;0;0;1;11.7911;0.166316;0.2;0.9;0.181818;500;100000;0.000514541;0.000527896;0.000176568;0.001083;2500;0.214./sim_patch_size_25_01_2024_213940_77
0;0.01;0.01;519941473;0.5;0.01;5;5;0;0;1;12.5274;0.166316;0.2;0.9;0.181818;500;100000;0.000525126;0.000255687;7.6214e-05;0.00135726;2500;0.198./sim_patch_size_25_01_2024_213940_78
0;0.01;0.01;3738528913;0.5;0.01;5;5;0;0;1;13.2637;0.166316;0.2;0.9;0.181818;500;100000;0.000607692;0.00168533;7.729e-05;0.00121989;2500;0.184./sim_patch_size_25_01_2024_213940_79
0;0.01;0.01;181755320;0.5;0.01;5;5;0;0;1;14;0.166316;0.2;0.9;0.181818;500;100000;0.000626677;0.000258256;0.000107077;0.000998915;2500;0.148./sim_patch_size_25_01_2024_213940_80
0;0.01;0.01;352904224;0.5;0.01;5;5;0;0;1;0.01;0.218421;0.2;0.9;0.181818;500;100000;-0.00113287;0.000240926;-0.000311991;0.000371652;2500;0.184./sim_patch_size_25_01_2024_213940_81
0;0.01;0.01;211527658;0.5;0.01;5;5;0;0;1;0.746316;0.218421;0.2;0.9;0.181818;500;100000;-0.00131699;0.000200952;-0.00015672;0.00104342;2500;0.188./sim_patch_size_25_01_2024_213940_82
0;0.01;0.01;2717511670;0.5;0.01;5;5;0;0;1;1.48263;0.218421;0.2;0.9;0.181818;500;100000;-0.000938744;0.184772;0.000207135;0.148268;2500;0.18./sim_patch_size_25_01_2024_213940_83
0;0.01;0.01;1741158122;0.5;0.01;5;5;0;0;1;2.21895;0.218421;0.2;0.9;0.181818;500;100000;-0.000383013;0.048787;0.000575443;0.0132679;2500;0.178./sim_patch_size_25_01_2024_213940_84
0;0.01;0.01;2030516060;0.5;0.01;5;5;0;0;1;2.95526;0.218421;0.2;0.9;0.181818;500;100000;-0.0004381;0.00172348;0.000685905;0.000275437;2500;0.158./sim_patch_size_25_01_2024_213940_85
0;0.01;0.01;3084062377;0.5;0.01;5;5;0;0;1;3.69158;0.218421;0.2;0.9;0.181818;500;100000;-0.000526418;0.000844329;0.000540775;0.00102304;2500;0.186./sim_patch_size_25_01_2024_213940_86
0;0.01;0.01;3515030643;0.5;0.01;5;5;0;0;1;4.42789;0.218421;0.2;0.9;0.181818;500;100000;1.17326e-05;0.000676065;2.18833e-06;0.000654296;2500;0.18./sim_patch_size_25_01_2024_213940_87
0;0.01;0.01;4192581;0.5;0.01;5;5;0;0;1;5.16421;0.218421;0.2;0.9;0.181818;500;100000;0.000283475;0.000222562;0.000260238;0.00379385;2500;0.166./sim_patch_size_25_01_2024_213940_88
0;0.01;0.01;2252874531;0.5;0.01;5;5;0;0;1;5.90053;0.218421;0.2;0.9;0.181818;500;100000;0.000433797;0.00104518;0.000162932;0.000476498;2500;0.164./sim_patch_size_25_01_2024_213940_89
0;0.01;0.01;50118250;0.5;0.01;5;5;0;0;1;6.63684;0.218421;0.2;0.9;0.181818;500;100000;0.000472027;0.000164823;0.000177693;0.000216038;2500;0.188./sim_patch_size_25_01_2024_213940_90
0;0.01;0.01;1123944165;0.5;0.01;5;5;0;0;1;7.37316;0.218421;0.2;0.9;0.181818;500;100000;0.000490788;0.000882727;0.00024216;0.000979033;2500;0.172./sim_patch_size_25_01_2024_213940_91
0;0.01;0.01;3388581381;0.5;0.01;5;5;0;0;1;8.10947;0.218421;0.2;0.9;0.181818;500;100000;0.000604759;0.000933069;0.000202997;0.000194602;2500;0.204./sim_patch_size_25_01_2024_213940_92
0;0.01;0.01;3945949968;0.5;0.01;5;5;0;0;1;8.84579;0.218421;0.2;0.9;0.181818;500;100000;0.000555341;0.000383496;0.000225469;0.000184334;2500;0.154./sim_patch_size_25_01_2024_213940_93
0;0.01;0.01;1789737752;0.5;0.01;5;5;0;0;1;9.58211;0.218421;0.2;0.9;0.181818;500;100000;0.000576716;0.000585937;0.00013722;0.0024167;2500;0.17./sim_patch_size_25_01_2024_213940_94
0;0.01;0.01;3401407542;0.5;0.01;5;5;0;0;1;10.3184;0.218421;0.2;0.9;0.181818;500;100000;0.000675614;0.00209035;0.000144968;0.000704774;2500;0.18./sim_patch_size_25_01_2024_213940_95
0;0.01;0.01;3164651461;0.5;0.01;5;5;0;0;1;11.0547;0.218421;0.2;0.9;0.181818;500;100000;0.000678086;0.000279468;0.000128769;0.000566474;2500;0.202./sim_patch_size_25_01_2024_213940_96
0;0.01;0.01;3731796573;0.5;0.01;5;5;0;0;1;11.7911;0.218421;0.2;0.9;0.181818;500;100000;0.000678154;0.000509606;0.000178672;0.000600223;2500;0.178./sim_patch_size_25_01_2024_213940_97
0;0.01;0.01;4179424014;0.5;0.01;5;5;0;0;1;12.5274;0.218421;0.2;0.9;0.181818;500;100000;0.000681462;0.000406737;0.000186478;0.000424033;2500;0.202./sim_patch_size_25_01_2024_213940_98
0;0.01;0.01;267290767;0.5;0.01;5;5;0;0;1;13.2637;0.218421;0.2;0.9;0.181818;500;100000;0.000754158;0.00121637;0.000144605;0.000542871;2500;0.16./sim_patch_size_25_01_2024_213940_99
0;0.01;0.01;79475765;0.5;0.01;5;5;0;0;1;14;0.218421;0.2;0.9;0.181818;500;100000;0.00070165;0.000662911;0.000119363;0.00043362;2500;0.156./sim_patch_size_25_01_2024_213940_100
0;0.01;0.01;2149241495;0.5;0.01;5;5;0;0;1;0.01;0.270526;0.2;0.9;0.181818;500;100000;-0.00139415;0.000435269;-0.000202948;0.000397537;2500;0.172./sim_patch_size_25_01_2024_213940_101
0;0.01;0.01;1294970425;0.5;0.01;5;5;0;0;1;0.746316;0.270526;0.2;0.9;0.181818;500;100000;-0.00167987;0.000275053;-0.000138097;0.000504512;2500;0.172./sim_patch_size_25_01_2024_213940_102
0;0.01;0.01;3187646413;0.5;0.01;5;5;0;0;1;1.48263;0.270526;0.2;0.9;0.181818;500;100000;-0.000954467;0.217767;0.000491503;0.0352567;2500;0.17./sim_patch_size_25_01_2024_213940_103
0;0.01;0.01;152582946;0.5;0.01;5;5;0;0;1;2.21895;0.270526;0.2;0.9;0.181818;500;100000;-0.000345902;0.00381429;0.000742632;0.000671626;2500;0.182./sim_patch_size_25_01_2024_213940_104
0;0.01;0.01;4043562094;0.5;0.01;5;5;0;0;1;2.95526;0.270526;0.2;0.9;0.181818;500;100000;-0.000433098;0.000698521;0.000797949;0.000245473;2500;0.186./sim_patch_size_25_01_2024_213940_105
0;0.01;0.01;3836969871;0.5;0.01;5;5;0;0;1;3.69158;0.270526;0.2;0.9;0.181818;500;100000;-0.000564848;0.00111716;0.000490066;0.000417085;2500;0.186./sim_patch_size_25_01_2024_213940_106
0;0.01;0.01;3074766396;0.5;0.01;5;5;0;0;1;4.42789;0.270526;0.2;0.9;0.181818;500;100000;-6.89422e-05;0.000881645;-6.36365e-05;0.000755528;2500;0.166./sim_patch_size_25_01_2024_213940_107
